IdPeaje,Peaje,UltimoFechaCambioPeaje,IdCategoriaTarifa,Valor
1,ALVARADO,01/16/2022 12:00:00 AM,III,13200
2,CHICORAL,01/15/2022 12:00:00 AM,III,12000
3,CHINAUTA,01/16/2022 12:00:00 AM,III,27600
4,HONDA,01/16/2022 12:00:00 AM,III,13200
8,CHUSACA,01/16/2022 12:00:00 AM,III,27600
9,BOQUERÓN I,01/16/2022 12:00:00 AM,III,21400
10,BOQUERÓN II,01/16/2022 12:00:00 AM,III,21400
11,RÍO BOGOTÁ,01/06/2023 12:00:00 AM,III,13100
12,LOS PATIOS,01/16/2022 12:00:00 AM,III,26100
13,CORZO,01/06/2023 12:00:00 AM,III,13100
14,CAIQUERO,10/21/2022 12:00:00 AM,III,36700
15,SIBERIA,10/21/2022 12:00:00 AM,III,14700
16,ANDES,01/17/2023 12:00:00 AM,III,10800
17,FUSCA,01/17/2023 12:00:00 AM,III,10800
18,LA CABAÑA,01/16/2022 12:00:00 AM,III,26100
20,NARANJAL,01/16/2022 12:00:00 AM,III,24100
21,PIPIRAL,01/16/2022 12:00:00 AM,III,27100
22,VERACRUZ,01/16/2022 12:00:00 AM,III,9600
23,EL ROBLE,01/16/2023 12:00:00 AM,III,25700
24,MACHETÁ,01/17/2023 12:00:00 AM,III,10200
25,ALBARRACÍN,01/16/2023 12:00:00 AM,III,25700
26,CISNEROS,02/01/2023 12:00:00 AM,III,19100
27,PUERTO BERRÍO,01/16/2022 12:00:00 AM,III,21700
28,LA APARTADA,01/16/2022 12:00:00 AM,III,20700
30,EL PLACER,01/16/2022 12:00:00 AM,III,29500
31,LOBOGUERRERO,02/17/2023 12:00:00 AM,III,24000
33,PAVAS,01/06/2023 12:00:00 AM,III,15800
34,SANTÁGUEDA,01/06/2023 12:00:00 AM,III,15800
35,SAN BERNARDO,01/06/2023 12:00:00 AM,III,15800
36,SUPIA,01/17/2023 12:00:00 AM,III,21300
37,LA PINTADA,01/16/2022 12:00:00 AM,III,16600
38,PRIMAVERA,01/16/2022 12:00:00 AM,III,21300
39,AMAGÁ,02/01/2023 12:00:00 AM,III,21300
40,LAS PALMAS,01/06/2023 12:00:00 AM,III,13200
43,GUARNE,01/06/2023 12:00:00 AM,III,21000
44,MANGUITOS,01/16/2022 12:00:00 AM,III,20700
45,PURGATORIO,01/16/2022 12:00:00 AM,III,20700
46,CEDROS,01/16/2022 12:00:00 AM,III,20700
47,LOS GARZONES 2,01/15/2022 12:00:00 AM,III,20700
48,LOS GARZONES 1,01/15/2022 12:00:00 AM,III,20700
49,MATA DE CAÑA,01/16/2022 12:00:00 AM,III,20300
50,CAIMANERA,01/16/2022 12:00:00 AM,III,20300
51,LOS CAUCHOS,01/17/2023 12:00:00 AM,III,21300
52,NEIVA,01/16/2022 12:00:00 AM,III,20900
53,EL PATÁ,01/16/2022 12:00:00 AM,III,20900
54,FLANDES,01/16/2022 12:00:00 AM,III,20900
55,IRACÁ,01/16/2022 12:00:00 AM,III,16700
56,OCOA,01/16/2022 12:00:00 AM,III,16700
57,PUENTE AMARILLO,01/16/2022 12:00:00 AM,III,8800
58,LA LIBERTAD,01/16/2022 12:00:00 AM,III,22900
59,CASETABLA,01/16/2022 12:00:00 AM,III,7000
60,GUALANDAY,01/15/2022 12:00:00 AM,III,30700
62,EL EBANAL,01/16/2022 12:00:00 AM,III,13300
63,ALTO PINO,01/16/2022 12:00:00 AM,III,13300
64,PARAGUACHÓN,01/16/2022 12:00:00 AM,III,13300
65,LOS ACACIOS,01/18/2023 12:00:00 AM,III,21600
66,LA LOMA,01/20/2022 12:00:00 AM,III,21600
67,ALTAMIRA,01/17/2023 12:00:00 AM,III,21700
68,VILLA RICA,01/17/2023 12:00:00 AM,III,31000
69,ESTAMBUL,01/17/2023 12:00:00 AM,III,31400
70,CENCAR,01/17/2023 12:00:00 AM,III,31000
71,PASO LA TORRE,01/17/2023 12:00:00 AM,III,31000
72,CIAT,01/17/2023 12:00:00 AM,III,31400
73,ROZO,01/17/2023 12:00:00 AM,III,31000
74,MEDIACANOA,01/17/2023 12:00:00 AM,III,31000
75,CERRITO,01/17/2023 12:00:00 AM,III,31000
76,COROZAL,01/06/2023 12:00:00 AM,III,15800
77,CIRCASIA,01/06/2023 12:00:00 AM,III,22100
79,ACAPULCO,01/17/2023 12:00:00 AM,III,15600
80,TARAPACÁ I,01/06/2023 12:00:00 AM,III,19200
81,TARAPACÁ II,01/06/2023 12:00:00 AM,III,19200
82,SAN PEDRO,01/16/2022 12:00:00 AM,III,21500
83,TUTA,01/16/2023 12:00:00 AM,III,25700
84,YUCAO,01/16/2022 12:00:00 AM,III,7000
85,EL PICACHO,01/16/2022 12:00:00 AM,III,21700
88,LA ESPERANZA,01/16/2022 12:00:00 AM,III,21300
89,LAS FLORES,01/15/2022 12:00:00 AM,III,20700
90,SAN ONOFRE,01/16/2022 12:00:00 AM,III,20700
91,EL CARMEN,01/18/2023 12:00:00 AM,III,22400
92,GAMBOTE,01/10/2023 12:00:00 AM,III,24900
93,PASACABALLOS,01/10/2023 12:00:00 AM,III,23500
95,PUENTE PLATO,01/20/2022 12:00:00 AM,III,26800
96,CALAMAR,01/17/2023 12:00:00 AM,III,21900
98,EL DIFÍCIL,01/20/2022 12:00:00 AM,III,26800
99,EL COPEY,01/20/2022 12:00:00 AM,III,22600
100,VALENCIA,01/20/2022 12:00:00 AM,III,21600
101,MARAHUACO,02/01/2023 12:00:00 AM,III,17600
102,BAYUNCA,01/10/2023 12:00:00 AM,III,24900
103,GALAPA 02,02/01/2023 12:00:00 AM,III,7700
104,PUERTO COLOMBIA,02/01/2023 12:00:00 AM,III,16400
105,SABANAGRANDE,01/10/2023 12:00:00 AM,III,25400
106,PAPIROS,02/01/2023 12:00:00 AM,III,8000
107,TUCURINCA,01/20/2022 12:00:00 AM,III,24400
108,NEGUANJE,01/16/2022 12:00:00 AM,III,13300
110,COCORA,01/16/2022 12:00:00 AM,III,31500
111,ARMERO,01/16/2022 12:00:00 AM,III,13200
115,LA LIZAMA,01/17/2023 12:00:00 AM,III,22200
117,ZARAGOZA,01/16/2023 12:00:00 AM,III,17800
122,GALAPA,01/10/2023 12:00:00 AM,III,24700
123,JUAN MINA,02/01/2023 12:00:00 AM,III,7700
124,CAMBAO,01/16/2022 12:00:00 AM,III,21300
126,BRISAS,01/16/2022 12:00:00 AM,III,24500
127,GUAICO,01/17/2023 12:00:00 AM,III,22800
128,IRRA,01/17/2023 12:00:00 AM,III,15700
135,GUATAQUÍ,01/16/2022 12:00:00 AM,III,21300
136,SOPÓ,01/16/2022 12:00:00 AM,III,28400
139,SAN CARLOS,01/16/2022 12:00:00 AM,III,20300
152,LA GÓMEZ,01/17/2023 12:00:00 AM,III,34700
153,PAILITAS,01/17/2023 12:00:00 AM,III,23900
161,ZAMBITO,01/15/2022 12:00:00 AM,III,34700
162,AGUAS NEGRAS,01/15/2022 12:00:00 AM,III,34700
166,MORRISON,01/17/2023 12:00:00 AM,III,23900
173,CABILDO,02/01/2023 12:00:00 AM,III,17000
176,PANDEQUESO,02/01/2023 12:00:00 AM,III,14100
178,TRAPICHE,02/01/2023 12:00:00 AM,III,17000
185,ABURRÁ,01/18/2023 12:00:00 AM,III,44500
1,ALVARADO,01/16/2024 12:00:00 AM,III,15200
2,CHICORAL,01/15/2024 12:00:00 AM,III,13800
3,CHINAUTA,01/16/2024 12:00:00 AM,III,31500
4,HONDA,01/16/2024 12:00:00 AM,III,15200
8,CHUSACA,01/16/2024 12:00:00 AM,III,31500
9,BOQUERÓN I,01/16/2024 12:00:00 AM,III,24500
10,BOQUERÓN II,01/16/2024 12:00:00 AM,III,24500
12,LOS PATIOS,01/16/2024 12:00:00 AM,III,29600
14,CAIQUERO,01/16/2024 12:00:00 AM,III,40800
15,SIBERIA,01/16/2024 12:00:00 AM,III,16500
16,ANDES,01/16/2024 12:00:00 AM,III,12500
17,FUSCA,01/16/2024 12:00:00 AM,III,12500
18,LA CABAÑA,01/16/2024 12:00:00 AM,III,29600
20,NARANJAL,01/16/2024 12:00:00 AM,III,27500
21,PIPIRAL,01/16/2024 12:00:00 AM,III,30900
22,VERACRUZ,01/16/2024 12:00:00 AM,III,11100
23,EL ROBLE,01/16/2024 12:00:00 AM,III,29300
24,MACHETÁ,01/16/2024 12:00:00 AM,III,11800
25,ALBARRACÍN,01/16/2024 12:00:00 AM,III,29300
26,CISNEROS,01/16/2024 12:00:00 AM,III,21900
27,PUERTO BERRÍO,01/16/2024 12:00:00 AM,III,12100
28,LA APARTADA,01/16/2024 12:00:00 AM,III,23700
30,EL PLACER,01/16/2024 12:00:00 AM,III,33600
31,LOBOGUERRERO,01/16/2024 12:00:00 AM,III,27400
33,PAVAS,01/16/2024 12:00:00 AM,III,17500
34,SANTÁGUEDA,01/16/2024 12:00:00 AM,III,17500
35,SAN BERNARDO,01/16/2024 12:00:00 AM,III,17500
36,SUPIA,01/16/2024 12:00:00 AM,III,24200
37,LA PINTADA,01/16/2024 12:00:00 AM,III,18900
38,PRIMAVERA,01/16/2024 12:00:00 AM,III,24200
39,AMAGÁ,01/16/2024 12:00:00 AM,III,24200
40,LAS PALMAS,01/16/2024 12:00:00 AM,III,14700
43,GUARNE,01/16/2024 12:00:00 AM,III,23200
44,MANGUITOS,01/16/2024 12:00:00 AM,III,23700
45,PURGATORIO,01/16/2024 12:00:00 AM,III,23700
46,CEDROS,01/16/2024 12:00:00 AM,III,23700
47,LOS GARZONES 2,01/15/2024 12:00:00 AM,III,23700
48,LOS GARZONES 1,01/15/2024 12:00:00 AM,III,23700
49,MATA DE CAÑA,01/16/2024 12:00:00 AM,III,23200
51,LOS CAUCHOS,01/16/2024 12:00:00 AM,III,24200
52,NEIVA,01/16/2024 12:00:00 AM,III,23900
53,EL PATÁ,01/16/2024 12:00:00 AM,III,23900
54,FLANDES,01/16/2024 12:00:00 AM,III,23900
55,IRACÁ,01/16/2024 12:00:00 AM,III,19200
56,OCOA,01/16/2024 12:00:00 AM,III,19200
57,PUENTE AMARILLO,01/16/2024 12:00:00 AM,III,10200
58,LA LIBERTAD,01/16/2024 12:00:00 AM,III,26200
59,CASETABLA,01/16/2024 12:00:00 AM,III,8200
60,GUALANDAY,01/15/2024 12:00:00 AM,III,35000
62,EL EBANAL,01/16/2024 12:00:00 AM,III,15300
63,ALTO PINO,01/16/2024 12:00:00 AM,III,15300
64,PARAGUACHÓN,01/16/2024 12:00:00 AM,III,15300
65,LOS ACACIOS,03/23/2024 12:00:00 AM,III,11100
66,LA LOMA,01/20/2024 12:00:00 AM,III,24700
67,ALTAMIRA,01/16/2024 12:00:00 AM,III,24600
68,VILLA RICA,01/16/2024 12:00:00 AM,III,35300
69,ESTAMBUL,01/16/2024 12:00:00 AM,III,35800
